Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Mayo;Pollo;Cárnico;Empanizado;Estados Unidos;16487.26;93663.36
Mayo;Pollo;Cárnico;Enlatado;Estados Unidos;937.14;5265.93
Mayo;Pollo;Cárnico;Grasa de Pollo;Estados Unidos;135683.61;297375.36
Mayo;Pollo;Cárnico;Jamon;Estados Unidos;380.95;3413.83
Mayo;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Brasil;355567.52;193765.06
Mayo;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Estados Unidos;582218.71;507109.38
Mayo;Pollo;Cárnico;Muslos;Estados Unidos;288180.76;341050.1
Mayo;Pollo;Cárnico;Nuggets;España;14742;50413.53
Mayo;Pollo;Cárnico;Nuggets;Estados Unidos;37426.7;96978.44
Mayo;Pollo;Cárnico;Paleta;Estados Unidos;26290.5;88937.35
Mayo;Pollo;Cárnico;Pechuga;Brasil;152911.18;336832.56
Mayo;Pollo;Cárnico;Pechuga;Estados Unidos;381391.79;1145560.08
Mayo;Pollo;Cárnico;Tiras;Estados Unidos;154.5;5086.14
Mayo;Pollo;Cárnico;Trozos;Estados Unidos;27215.82;72848.59
Junio;Pollo;Cárnico;Alas;Brasil;81809.98;156068.11
junio;Pollo;Cárnico;Alas;Estados Unidos;183699.31;383090.87
Junio;Pollo;Cárnico;Carne de pollo;Brasil;26991.99;56531.24
Junio;Pollo;Cárnico;Carne Molida;Estados Unidos;1019928.38;1349602.55
Junio;Pollo;Cárnico;Chicharron;Estados Unidos;9092.52;93968.2
junio;Pollo;Cárnico;Empanizado;Estados Unidos;16487.26;93662.52
junio;Pollo;Cárnico;Enlatado;Estados Unidos;937.14;5511.07
Junio;Pollo;Cárnico;Grasa de Pollo;Estados Unidos;116899;190008.32
Junio;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Brasil;603585.93;364736.2
Junio;Pollo;Cárnico;MDM, MSC, Pasta o Pulpa;Estados Unidos;158528.77;157521.23
junio;Pollo;Cárnico;Muslos;Estados Unidos;252822.28;356102.92
Junio;Pollo;Cárnico;Nuggets;España;20358;26747
junio;Pollo;Cárnico;Nuggets;Estados Unidos;34471.87;96244.3
junio;Pollo;Cárnico;Pechuga;Brasil;533275.96;1074741.53
Junio;Pollo;Cárnico;Pechuga;Estados Unidos;370407.31;1392491.29
Junio;Pollo;Cárnico;Pechurina;Brasil;27000;66150
junio;Pollo;Cárnico;Tiras;Estados Unidos;120.1;3265.51
Junio;Pollo;Cárnico;Trimming;Estados Unidos;79606.23;107493.75
Abril;Otro Origen;Otro Tipo;Adereso;Estados Unidos;141.52;271.33
Abril;Otro Origen;Otro Tipo;Base para biscocho;Estados Unidos;712;4441.33
Abril;Otro Origen;Otro Tipo;Base Para helados;Chile;20880;33458.98
Abril;Otro Origen;Otro Tipo;Base Para helados;Estados Unidos;9290.57;14163.44
Abril;Otro Origen;Otro Tipo;Comidas Preparadas;Estados Unidos;1067.86;10165.36
Abril;Otro Origen;Otro Tipo;Cremora;Estados Unidos;299.37;1358
Abril;Otro Origen;Otro Tipo;Mayonesa;Costa Rica;6759.64;11291.96
Abril;Otro Origen;Otro Tipo;Mayonesa;Estados Unidos;254331.83;516202.03
Abril;Otro Origen;Otro Tipo;Morcilla;España;1248;5513.76
Abril;Otro Origen;Otro Tipo;Pastas con queso;Estados Unidos;10208.7;13041
Abril;Otro Origen;Otro Tipo;Preparacion Alimenticia;Alemania;100775;299020.31
Abril;Otro Origen;Otro Tipo;Sopa;El Salvador;6906.24;23776.96
Abril;Otro Origen;Otro Tipo;Preparacion Alimenticia;Italia;5888;66745.85
Abril;Otro Origen;Otro Tipo;Preparacion Alimenticia;Netherlands;304500;877720
Abril;Otro Origen;Otro Tipo;Productos carnicos;Estados Unidos;57606.7;239690.89
Abril;Otro Origen;Otro Tipo;Tripas artificiales;Mexico;2891;60253.1
Abril;Otro Origen;Otro Tipo;Tripas artificiales;Republica Checa;6444.8;185632.49
Mayo;Otro Origen;Otro Tipo;Base Para helados;Estados Unidos;10800.87;40747.01
Mayo;Otro Origen;Otro Tipo;Base Para helados;Italia;13167;94409
Mayo;Otro Origen;Otro Tipo;Comidas Preparadas;Estados Unidos;2428.3;15849.1
Mayo;Otro Origen;Otro Tipo;Gelatina;Colombia;17400;61430.4
Mayo;Otro Origen;Otro Tipo;Mayonesa;Estados Unidos;160923.66;340385.38
Mayo;Otro Origen;Otro Tipo;Mayonesa;Reino Unido;6.48;107.11
Mayo;Otro Origen;Otro Tipo;Pastas con queso;Estados Unidos;919.97;5830.29
Mayo;Otro Origen;Otro Tipo;Preparacion Alimenticia;Estados Unidos;456.73;1983.61
Mayo;Otro Origen;Otro Tipo;Preparacion Alimenticia;Guatemala;31700.24;43309.84
Mayo;Otro Origen;Otro Tipo;Preparacion Alimenticia;Netherlands;229500;575280
Mayo;Otro Origen;Otro Tipo;Preparacion Alimenticia;Portugal;50000;156500
Mayo;Otro Origen;Otro Tipo;Productos carnicos;España;1;1
Mayo;Otro Origen;Otro Tipo;Productos carnicos;Estados Unidos;29294.91;247085.02
Mayo;Otro Origen;Otro Tipo;Productos carnicos;Italia;1;1
Mayo;Otro Origen;Otro Tipo;Sabor artificial de queso cheddar;Estados Unidos;2400;77568
Mayo;Otro Origen;Otro Tipo;Tripas artificiales;Alemania;5327.9;57440.5
junio;Otro Origen;Otro Tipo;Base Para helados;España;960;10801.92
junio;Otro Origen;Otro Tipo;Base Para helados;Estados Unidos;442.25;3270
junio;Otro Origen;Otro Tipo;Comidas Preparadas;Estados Unidos;2489.3;16450
junio;Otro Origen;Otro Tipo;Cremora;Estados Unidos;17275;37719.5
Junio;Otro Origen;Otro Tipo;Gelatina;Brasil;24000;134016.13
junio;Otro Origen;Otro Tipo;Gelatina;Colombia;17790;51865.56
junio;Otro Origen;Otro Tipo;Mayonesa;;356.82;1613.22
junio;Otro Origen;Otro Tipo;Mayonesa;Costa Rica;11751.2;36866.52
Junio;Otro Origen;Otro Tipo;Mayonesa;Estados Unidos;177971.83;275472.09
junio;Otro Origen;Otro Tipo;Pastas con queso;Estados Unidos;1000;2231.08
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;Alemania;50000;120225
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;Belgica;24750;80438.4
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;España;15026.4;67887.83
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;Estados Unidos;100001;313977
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;Irlanda;150000;468599
Junio;Otro Origen;Otro Tipo;Preparacion Alimenticia;Netherlands;280500;753397.5
junio;Otro Origen;Otro Tipo;Productos carnicos;Estados Unidos;27284.52;169352.23
junio;Otro Origen;Otro Tipo;Salsa BBQ;Estados Unidos;108.18;328.45
Junio;Otro Origen;Otro Tipo;Tripas artificiales;Alemania;9874;128217.15
Junio;Otro Origen;Otro Tipo;Tripas artificiales;Bulgaria;6870;57483
Junio;Otro Origen;Otro Tipo;Tripas artificiales;Mexico;25701.38;477477.53
Junio;Otro Origen;Otro Tipo;Tripas artificiales;Republica Checa;3040;86351.92
Abril;Avícola;Huevo;Yema de huevo;Dinamarca;2100;22995
Mayo;Avícola;Huevo;Huevo en polvo;Colombia;3600;27360
Abril;Pollo;Huevo;Huevos Fértiles;Estados Unidos;13800;87300
